"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8961","child window action","","Tue Aug 19 20:56:50 CDT 2025","passed","Tue Aug 19 20:56:59 CDT 2025","","childwindow.spec.js","",""
"","40269","hide and display actions","","Tue Aug 19 20:56:56 CDT 2025","broken","Tue Aug 19 20:57:37 CDT 2025","","hidevalidations.spec.js","",""
"","8771","assertions practise","","Tue Aug 19 20:56:50 CDT 2025","passed","Tue Aug 19 20:56:58 CDT 2025","","assertionspractise.spec.js","",""
"","6212","calendar testing","","Tue Aug 19 20:56:50 CDT 2025","passed","Tue Aug 19 20:56:56 CDT 2025","","calendarpractise.spec.js","",""
"","7446","keyboard actions","","Tue Aug 19 20:56:59 CDT 2025","passed","Tue Aug 19 20:57:06 CDT 2025","","keyboardactions.spec.js","",""
"","4581","Practising getbyrole and filter","","Tue Aug 19 20:57:00 CDT 2025","passed","Tue Aug 19 20:57:05 CDT 2025","","Practise.spec.js","",""
"","2370","wait for network calls","","Tue Aug 19 20:57:02 CDT 2025","passed","Tue Aug 19 20:57:04 CDT 2025","","waits.spec.js","",""
"","2206","file upload using file chooser","","Tue Aug 19 20:56:58 CDT 2025","passed","Tue Aug 19 20:57:01 CDT 2025","","fileupload.spec.js","",""
"","4276","file upload using playwright","","Tue Aug 19 20:56:54 CDT 2025","passed","Tue Aug 19 20:56:58 CDT 2025","","fileupload.spec.js","",""
"","9752","dropdown practise","","Tue Aug 19 20:56:50 CDT 2025","passed","Tue Aug 19 20:56:59 CDT 2025","","codegen_dropdown.spec.js","",""
"","11266","practising e2e scenario","","Tue Aug 19 20:56:50 CDT 2025","passed","Tue Aug 19 20:57:01 CDT 2025","","e2epractise.spec.js","",""
"","9998","e2e using advance locators","","Tue Aug 19 20:57:01 CDT 2025","passed","Tue Aug 19 20:57:11 CDT 2025","","UiBasicsTest.spec.js","",""
"","23635","data driven","","Tue Aug 19 20:56:50 CDT 2025","passed","Tue Aug 19 20:57:13 CDT 2025","","Datadriver.spec.js","",""
"","4299","Mouse over actions","","Tue Aug 19 20:56:59 CDT 2025","passed","Tue Aug 19 20:57:03 CDT 2025","","mouseover.spec.js","",""
"","4175","alerts in scree","","Tue Aug 19 20:56:50 CDT 2025","passed","Tue Aug 19 20:56:54 CDT 2025","","Alerts_frames.spec.js","",""
